name,provider,country,city,region,description,duration_weeks,duration_type,credits_min,credits_max,gpa_requirement,language_requirement,program_fee,housing_included,estimated_total_cost,internship_available,research_opportunities,excursions_included,program_url,academic_fields,tags
Quito Environmental Studies,SIT Study Abroad,Ecuador,Quito,Americas,Research biodiversity and conservation in the Galapagos and Amazon with local communities.,15,semester,16,16,2.75,Basic Spanish required,16800,TRUE,18500,FALSE,TRUE,TRUE,https://www.sit.edu/programs/ecuador-environment,Environmental Studies|Biology|Spanish|Anthropology,rural|research|field-work|sustainable|small-cohort
Dublin Literature & Writing,API,Ireland,Dublin,Europe,Study Irish literature and creative writing in the city of Joyce and Yeats with published authors.,10,summer,6,9,2.5,None,7500,FALSE,9800,FALSE,FALSE,TRUE,https://www.apistudyabroad.com/programs/ireland/dublin,Literature|English|Philosophy|History,urban|arts-focused|english-taught|cultural-immersion|small-cohort
Seoul K-Pop & Media,ISA,South Korea,Seoul,Asia,Explore Korean pop culture and media industries with behind-the-scenes studio visits.,4,short-term,3,3,2.5,None,3800,TRUE,4500,FALSE,FALSE,TRUE,https://www.studiesabroad.com/programs/korea/seoul-media,Communications|Marketing|Sociology,urban|modern|arts-focused|english-taught|intensive
Vienna Music Performance,IES Abroad,Austria,Vienna,Europe,Study classical music performance and history in Mozart's city with Vienna Philharmonic masterclasses.,16,semester,12,18,3.0,None,18200,TRUE,21500,FALSE,FALSE,TRUE,https://www.iesabroad.org/programs/vienna-music,Music|German|Liberal Arts|History,urban|arts-focused|cultural-immersion|historic|small-cohort
Bangalore Tech Innovation,CIEE,India,Bangalore,Asia,Experience India's Silicon Valley while studying computer science and entrepreneurship.,15,semester,12,15,3.0,None (English-taught),10500,TRUE,12800,TRUE,TRUE,FALSE,https://www.ciee.org/programs/india/bangalore-tech,Computer Science|Engineering|Business|Mathematics,urban|modern|internships|stem-focused|english-taught
Santiago Spanish & Culture,CEA Study Abroad,Chile,Santiago,Americas,Intensive Spanish immersion in Chile's capital with Andean excursions and wine country visits.,14,semester,15,18,2.5,2 semesters Spanish,12800,TRUE,15200,FALSE,FALSE,TRUE,https://www.ceastudyabroad.com/programs/santiago,Spanish|Political Science|Economics|Environmental Studies,urban|mountains|language-intensive|cultural-immersion|adventure
Edinburgh Psychology,API,United Kingdom,Edinburgh,Europe,Study psychology and neuroscience at renowned Scottish universities with research opportunities.,16,semester,12,18,3.0,None,16500,TRUE,19800,FALSE,TRUE,FALSE,https://www.apistudyabroad.com/programs/uk/edinburgh,Psychology|Liberal Arts|Philosophy|Biology,urban|historic|research|english-taught|stem-focused
Taipei Mandarin & Technology,CET Academic Programs,Taiwan,Taipei,Asia,Combine intensive Mandarin study with technology and innovation courses in Taiwan's capital.,10,summer,8,10,2.75,1 semester Mandarin,7200,TRUE,8900,FALSE,FALSE,TRUE,https://www.cetacademicprograms.com/programs/taiwan/taipei,Chinese|Computer Science|Engineering|Business,urban|modern|language-intensive|stem-focused|intensive
Accra African Studies,CIEE,Ghana,Accra,Africa,Explore West African culture and development through community engagement and Twi language study.,15,semester,15,18,2.8,None (English-taught),11500,TRUE,13500,FALSE,FALSE,TRUE,https://www.ciee.org/programs/ghana/accra,Anthropology|Political Science|History|Sociology,urban|cultural-immersion|volunteer|community-engagement|english-taught
Milan Fashion Business,ISA,Italy,Milan,Europe,Study fashion merchandising and luxury brand management in Italy's fashion capital.,8,summer,6,9,2.75,None,8200,FALSE,10800,TRUE,FALSE,TRUE,https://www.studiesabroad.com/programs/italy/milan-fashion,Business|Marketing|Italian|Art History,urban|modern|internships|arts-focused|intensive
Christchurch Geology,School for Field Studies,New Zealand,Christchurch,Oceania,Study plate tectonics and natural hazards in New Zealand's earthquake recovery city.,15,semester,16,16,3.0,None,17200,TRUE,19500,FALSE,TRUE,TRUE,https://fieldstudies.org/programs/new-zealand-geology,Environmental Studies|Biology|Chemistry|Mathematics,research|field-work|stem-focused|english-taught|adventure
Lisbon Tech Startups,IES Abroad,Portugal,Lisbon,Europe,Experience Portugal's growing tech scene while studying entrepreneurship and innovation.,14,semester,12,16,2.8,None (English-taught),13500,TRUE,16000,TRUE,FALSE,TRUE,https://www.iesabroad.org/programs/lisbon-tech,Business|Computer Science|Economics|Marketing,urban|coastal|modern|internships|english-taught
Hanoi Vietnamese Studies,SIT Study Abroad,Vietnam,Hanoi,Asia,Intensive Vietnamese language study with focus on development and social change.,15,semester,16,16,2.75,None,14200,TRUE,16000,FALSE,TRUE,TRUE,https://www.sit.edu/programs/vietnam-studies,Vietnamese|Political Science|Anthropology|History,urban|language-intensive|cultural-immersion|community-engagement|small-cohort
Mexico City Arts & Culture,CIEE,Mexico,Mexico City,Americas,Explore Mexican art and culture from ancient to contemporary in Latin America's largest city.,6,summer,6,6,2.5,Basic Spanish recommended,5800,TRUE,7200,FALSE,FALSE,TRUE,https://www.ciee.org/programs/mexico/mexico-city,Art History|Spanish|Anthropology|History,urban|arts-focused|cultural-immersion|historic|intensive
Brussels EU Politics,API,Belgium,Brussels,Europe,Study European Union institutions and policy-making with internships at EU organizations.,16,semester,15,18,3.0,None (English-taught),15800,TRUE,18500,TRUE,FALSE,FALSE,https://www.apistudyabroad.com/programs/belgium/brussels,Political Science|International Relations|Economics|French,urban|modern|internships|english-taught|small-cohort
Tel Aviv Innovation,ISA,Israel,Tel Aviv,Middle East,Experience the Startup Nation while studying entrepreneurship and Middle Eastern politics.,10,summer,6,9,2.8,None (English-taught),9500,FALSE,12000,TRUE,FALSE,TRUE,https://www.studiesabroad.com/programs/israel/tel-aviv,Business|Computer Science|Political Science|History,urban|coastal|modern|internships|english-taught
Glasgow Public Health,CIEE,United Kingdom,Glasgow,Europe,Study healthcare systems and public health policy in Scotland with NHS placements.,15,semester,15,18,2.75,None,14500,TRUE,17500,FALSE,TRUE,TRUE,https://www.ciee.org/programs/uk/glasgow-health,Public Health|Biology|Psychology|Sociology,urban|english-taught|research|community-engagement|field-work
Cusco Indigenous Studies,SIT Study Abroad,Peru,Cusco,Americas,Study Andean culture and Quechua language while living with indigenous communities.,14,semester,16,16,2.5,Basic Spanish required,15200,TRUE,17000,FALSE,TRUE,TRUE,https://www.sit.edu/programs/peru-indigenous,Anthropology|Spanish|History|Environmental Studies,rural|cultural-immersion|homestay|community-engagement|small-cohort
Stockholm Innovation & Design,DIS,Sweden,Stockholm,Europe,Study Scandinavian design and innovation in one of Europe's most sustainable cities.,16,semester,15,20,3.0,None (English-taught),18800,TRUE,22000,TRUE,FALSE,TRUE,https://www.dis.dk/programs/stockholm-design,Engineering|Business|Environmental Studies|Computer Science,urban|modern|sustainable|english-taught|internships
Amman Arabic & Culture,CIEE,Jordan,Amman,Middle East,Intensive Arabic study with insights into Middle Eastern politics and refugee issues.,15,semester,15,18,2.8,1 year Arabic required,12500,TRUE,14500,FALSE,TRUE,TRUE,https://www.ciee.org/programs/jordan/amman,Arabic|Political Science|International Relations|History,urban|language-intensive|cultural-immersion|community-engagement|intensive
Gold Coast Sports Science,API,Australia,Gold Coast,Oceania,Study sports science and management at Australia's premier coastal sports destination.,8,summer,6,9,2.75,None,8900,FALSE,11500,TRUE,FALSE,TRUE,https://www.apistudyabroad.com/programs/australia/gold-coast,Biology|Psychology|Business|Public Health,coastal|beach|english-taught|internships|relaxed
Hamburg Engineering,IES Abroad,Germany,Hamburg,Europe,Study renewable energy and maritime engineering in Germany's gateway to the world.,16,semester,12,18,3.2,Basic German required,15800,TRUE,18500,FALSE,TRUE,FALSE,https://www.iesabroad.org/programs/hamburg-engineering,Engineering|Environmental Studies|German|Mathematics,urban|coastal|stem-focused|research|modern
San José Tech & Spanish,ISA,Costa Rica,San José,Americas,Combine Spanish immersion with technology studies in Central America's tech hub.,10,summer,6,9,2.5,Basic Spanish recommended,6500,TRUE,8000,TRUE,FALSE,TRUE,https://www.studiesabroad.com/programs/costa-rica/tech,Spanish|Computer Science|Business|Environmental Studies,urban|language-intensive|internships|cultural-immersion|affordable
Marrakech Cultural Studies,SIT Study Abroad,Morocco,Marrakech,Africa,Study Arabic and French while exploring Moroccan culture and Islamic civilization.,15,semester,16,16,2.75,None,13800,TRUE,15500,FALSE,FALSE,TRUE,https://www.sit.edu/programs/morocco-culture,Arabic|French|Anthropology|History,cultural-immersion|language-intensive|homestay|historic|small-cohort
Oslo Arctic Studies,School for Field Studies,Norway,Oslo,Europe,Study climate change and Arctic ecosystems with field research in Svalbard.,3,short-term,3,3,3.0,None,4500,TRUE,5200,FALSE,TRUE,FALSE,https://fieldstudies.org/programs/norway-arctic,Environmental Studies|Biology|Political Science,research|field-work|sustainable|adventure|intensive
Nice French Riviera,CEA Study Abroad,France,Nice,Europe,Study French language and Mediterranean culture on the stunning Côte d'Azur.,14,semester,12,16,2.5,2 semesters French,14200,TRUE,17500,FALSE,FALSE,TRUE,https://www.ceastudyabroad.com/programs/nice,French|Business|Art History|Liberal Arts,coastal|beach|language-intensive|cultural-immersion|relaxed
Mumbai Business Analytics,CIEE,India,Mumbai,Asia,Study data science and business analytics in India's financial capital with tech company visits.,8,summer,6,9,3.0,None (English-taught),6800,TRUE,8500,TRUE,FALSE,FALSE,https://www.ciee.org/programs/india/mumbai-analytics,Computer Science|Business|Mathematics|Economics,urban|modern|stem-focused|internships|english-taught
Wellington Film Production,API,New Zealand,Wellington,Oceania,Study film production in Middle Earth's movie capital with industry professionals.,10,summer,6,9,2.5,None,9200,FALSE,11800,TRUE,FALSE,TRUE,https://www.apistudyabroad.com/programs/new-zealand/wellington,Communications|Liberal Arts|Art History,urban|arts-focused|internships|english-taught|creative
Barcelona Architecture,IES Abroad,Spain,Barcelona,Europe,Study Gaudí and modernist architecture with studio courses and urban planning projects.,15,semester,15,18,2.8,None (English-taught),17200,TRUE,20000,FALSE,FALSE,TRUE,https://www.iesabroad.org/programs/barcelona-architecture,Engineering|Art History|Spanish|Environmental Studies,urban|arts-focused|cultural-immersion|english-taught|modern
Dubai Business & Innovation,ISA,United Arab Emirates,Dubai,Middle East,Experience the Middle East's business hub while studying international trade and finance.,4,short-term,3,3,3.0,None (English-taught),4200,TRUE,5500,FALSE,FALSE,TRUE,https://www.studiesabroad.com/programs/uae/dubai,Business|Finance|Marketing|International Relations,urban|modern|english-taught|intensive|luxurious
Reykjavik Renewable Energy,School for Field Studies,Iceland,Reykjavik,Europe,Study geothermal energy and sustainability in Iceland's unique volcanic landscape.,6,summer,6,6,3.0,None,7800,TRUE,9200,FALSE,TRUE,TRUE,https://fieldstudies.org/programs/iceland-energy,Environmental Studies|Engineering|Biology|Chemistry,research|field-work|sustainable|adventure|small-cohort
Valencia Spanish & Medicine,API,Spain,Valencia,Europe,Pre-med Spanish immersion with hospital shadowing and Mediterranean lifestyle.,14,semester,12,16,3.2,2 semesters Spanish,13500,TRUE,16000,FALSE,FALSE,TRUE,https://www.apistudyabroad.com/programs/spain/valencia-med,Spanish|Biology|Public Health|Chemistry,urban|coastal|language-intensive|cultural-immersion|beach
Beijing Politics & Economics,CET Academic Programs,China,Beijing,Asia,Study China's political economy while perfecting Mandarin in the nation's capital.,16,semester,12,18,2.8,2 semesters Mandarin,15200,TRUE,17500,FALSE,FALSE,TRUE,https://www.cetacademicprograms.com/programs/china/beijing,Chinese|Political Science|Economics|History,urban|language-intensive|cultural-immersion|historic|intensive
Galway Irish Studies,CIEE,Ireland,Galway,Europe,Explore Irish language and culture in Ireland's cultural heart on the wild Atlantic coast.,10,summer,6,9,2.5,None,7200,FALSE,9500,FALSE,FALSE,TRUE,https://www.ciee.org/programs/ireland/galway,Literature|History|Anthropology|Liberal Arts,coastal|cultural-immersion|english-taught|small-cohort|relaxed
São Paulo Social Enterprise,IES Abroad,Brazil,São Paulo,Americas,Study social entrepreneurship and Portuguese in South America's largest city.,15,semester,15,18,2.75,Basic Portuguese recommended,14800,TRUE,17200,TRUE,FALSE,TRUE,https://www.iesabroad.org/programs/sao-paulo,Portuguese|Business|Sociology|Economics,urban|internships|community-engagement|cultural-immersion|modern
Rabat Diplomacy Studies,SIT Study Abroad,Morocco,Rabat,Africa,Study international relations and Arabic in Morocco's diplomatic capital.,14,semester,16,16,2.8,1 year Arabic or French,13200,TRUE,15000,FALSE,FALSE,TRUE,https://www.sit.edu/programs/morocco-diplomacy,Arabic|Political Science|International Relations|French,urban|language-intensive|cultural-immersion|small-cohort|historic
Perth Marine Conservation,School for Field Studies,Australia,Perth,Oceania,Study marine biology and conservation on Australia's pristine western coast.,12,summer,9,12,3.0,None,11500,TRUE,13800,FALSE,TRUE,TRUE,https://fieldstudies.org/programs/australia-perth,Biology|Environmental Studies|Chemistry,coastal|beach|research|field-work|adventure
Geneva International Relations,CEA Study Abroad,Switzerland,Geneva,Europe,Study at UN headquarters and international organizations in Europe's diplomatic center.,8,summer,6,9,3.0,None (English-taught),9800,FALSE,12500,TRUE,FALSE,FALSE,https://www.ceastudyabroad.com/programs/geneva,Political Science|International Relations|Economics|French,urban|modern|internships|english-taught|small-cohort
Ho Chi Minh City Business,API,Vietnam,Ho Chi Minh City,Asia,Experience Vietnam's economic boom while studying emerging markets and Asian business.,14,semester,12,15,2.75,None (English-taught),10800,TRUE,12500,TRUE,FALSE,TRUE,https://www.apistudyabroad.com/programs/vietnam/hcmc,Business|Economics|International Relations|Marketing,urban|modern|internships|english-taught|cultural-immersion
Salamanca Classical Studies,ISA,Spain,Salamanca,Europe,Study at Spain's oldest university in a perfectly preserved medieval city.,16,semester,15,19,2.5,2 semesters Spanish,11500,TRUE,13800,FALSE,FALSE,TRUE,https://www.studiesabroad.com/programs/spain/salamanca,Spanish|Literature|History|Philosophy,historic|language-intensive|cultural-immersion|homestay|traditional
Melbourne Psychology Research,CIEE,Australia,Melbourne,Oceania,Conduct psychology research at top Australian universities in a multicultural city.,15,semester,12,18,3.0,None,18200,TRUE,21500,FALSE,TRUE,FALSE,https://www.ciee.org/programs/australia/melbourne-psych,Psychology|Biology|Sociology|Public Health,urban|english-taught|research|stem-focused|modern
Havana Cuban Studies,Academic Programs International,Cuba,Havana,Americas,Unique opportunity to study Cuban culture and society with homestay families.,4,short-term,3,3,2.5,Basic Spanish required,3500,TRUE,4200,FALSE,FALSE,TRUE,https://www.apiabroad.com/programs/cuba/havana,Spanish|History|Political Science|Sociology,urban|homestay|cultural-immersion|historic|intensive
Bergen Environmental Science,School for Field Studies,Norway,Bergen,Europe,Study fjord ecosystems and climate science in Norway's rainiest city.,15,semester,16,16,3.0,None,17800,TRUE,20500,FALSE,TRUE,TRUE,https://fieldstudies.org/programs/norway-bergen,Environmental Studies|Biology|Chemistry|Mathematics,coastal|research|field-work|sustainable|adventure
Dakar Development Studies,CIEE,Senegal,Dakar,Africa,Study French and Wolof while exploring West African development and culture.,15,semester,15,18,2.75,2 semesters French,12800,TRUE,14500,FALSE,FALSE,TRUE,https://www.ciee.org/programs/senegal/dakar,French|Political Science|Anthropology|History,urban|coastal|language-intensive|cultural-immersion|community-engagement
